,year,month,day,RMM1,RMM2,phase,amplitude
2012-12-17,2012,12,17,-1.2191508,-0.49143475,1,1.3144721
2012-12-18,2012,12,18,-1.008458,-0.52838403,1,1.1384978
2012-12-19,2012,12,19,-0.56939548,-0.63162225,2,0.85038692
2012-12-20,2012,12,20,-0.2978192,-0.75278962,2,0.80956066
2012-12-21,2012,12,21,-0.18219677,-0.71374506,2,0.73663265
2012-12-22,2012,12,22,0.25723961,-0.93424547,3,0.96901333
2012-12-23,2012,12,23,0.0383415408,-1.0284555,3,1.0291699
2012-12-24,2012,12,24,-0.00367978006,-1.0268128,2,1.0268195
2012-12-25,2012,12,25,0.0808185786,-0.85590166,3,0.85970885
2012-12-26,2012,12,26,0.30527911,-0.80648065,3,0.86232609
2012-12-27,2012,12,27,0.37438959,-0.73387849,3,0.82385993
2012-12-28,2012,12,28,0.28667906,-0.62158054,3,0.68450511
2012-12-29,2012,12,29,0.2880809,-0.66519958,3,0.72490078
2012-12-30,2012,12,30,0.56139255,-0.79226804,3,0.97100472
2012-12-31,2012,12,31,0.66924238,-0.94963634,3,1.1617635
